id,login,company,created_at,type,fake,deleted,long,lat,country_code,state,city,location
248,matagus,\N,2/27/09 9:45,USR,0,0,-58.3815591,-34.6036844,ar,Buenos Aires,Buenos Aires,"Buenos Aires, Argentina"
249,benmur,#NAME?,8/18/09 6:58,USR,0,0,-122.4194155,37.7749295,us,San Francisco County,San Francisco,"San Francisco, CA"
250,EJMREDUO,\N,8/3/12 16:09,USR,1,1,\N,\N,\N,\N,\N,\N
251,ggreif,\N,1/7/12 20:00,USR,0,0,0,0,\N,\N,\N,\N
252,AAJAIMDH,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
253,bob-wilson,\N,12/4/15 20:29,USR,0,0,0,0,\N,\N,\N,\N
254,VEJMTTPM,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
255,isanbard,\N,8/16/11 1:57,USR,0,0,0,0,\N,\N,\N,\N
256,JTVJMBSK,\N,8/3/12 16:09,USR,1,1,\N,\N,\N,\N,\N,\N
257,CBQDFYMY,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
259,djacobs,\N,12/23/08 4:28,USR,0,0,-74.0059728,40.7127753,us,New York,New York,New York City
261,estani,\N,1/15/12 15:53,USR,0,0,13.404954,52.5200066,de,Berlin,Berlin,"Berlin, Germany"
262,slouis,\N,8/1/10 12:21,USR,0,0,0,0,\N,\N,\N,\N
263,gerardgavy,\N,4/30/13 4:10,USR,0,1,0,0,\N,\N,\N,\N
264,heliostatic,#NAME?,4/6/09 5:06,USR,0,0,0,0,\N,\N,\N,"Williamstown, MA"
266,diegopacheco,Crom Microsystems,8/30/09 23:05,USR,0,0,-51.2176584,-30.0346471,br,Porto Alegre,Porto Alegre,"Porto Alegre, RS - Brazil"
268,laogao,\N,3/30/09 5:41,USR,0,0,121.4737021,31.2303904,cn,Shanghai,Shanghai,"Shanghai, China"
269,jgoodsen,http://radsoft.com,7/9/08 12:31,USR,0,0,0,0,\N,\N,\N,IdaZonaTana
271,Sidnicious,\N,8/4/09 15:13,USR,0,0,0,0,\N,\N,\N,\N
272,yui,\N,12/4/08 0:46,ORG,0,0,-122.0363496,37.36883,us,Santa Clara County,Sunnyvale,"Sunnyvale, CA"
273,lzell,\N,11/22/08 0:45,USR,0,0,-122.4194155,37.7749295,us,San Francisco County,San Francisco,"San Francisco, CA"
274,bizgems,\N,12/23/11 6:57,USR,0,1,\N,\N,\N,\N,\N,\N
276,soe,\N,5/19/10 18:48,USR,0,0,0,0,\N,\N,\N,\N
277,fractal,\N,9/11/09 10:57,USR,0,0,-0.1277583,51.5073509,gb,Greater London,London,London
278,raptrex,\N,4/29/09 21:02,USR,0,0,0,0,\N,\N,\N,\N
283,d4rkang3l,\N,7/30/11 10:55,USR,0,0,0,0,\N,\N,\N,\N
284,momipsl,Institut Pierre Simon Laplace,12/16/11 8:57,USR,0,0,2.34120011,48.85692978,fr,IdF,Paris,Paris
285,rebx,\N,7/15/09 20:16,USR,0,0,0,0,\N,\N,\N,\N
286,stephenpascoe,STFC,3/18/11 15:40,USR,0,0,0,0,\N,\N,\N,\N
287,dnordberg,\N,6/27/08 17:29,USR,0,0,-0.1277583,51.5073509,gb,Greater London,London,London
288,redaready,\N,8/18/09 20:16,USR,0,0,5.447427,43.529742,fr,Bouches-du-Rhone,Aix-en-Provence,"Aix en provence, France"
289,thomasl,\N,9/23/08 19:22,USR,0,0,18.0326004,59.35250092,se,Stockholm County,Stockholm,Stockholm
291,agilelion,\N,5/23/12 18:30,USR,0,0,-79.43280029,43.65739822,ca,ON,Toronto,"Toronto, Canada"
294,zygote,\N,2/25/08 16:01,USR,0,0,0,0,\N,\N,\N,\N
296,hokkos,\N,6/15/10 9:24,USR,0,0,0,0,\N,\N,\N,\N
297,interesse,\N,12/7/08 12:19,USR,0,0,0,0,\N,\N,\N,\N
299,mahipal,\N,8/25/09 20:24,USR,0,0,0,0,\N,\N,\N,\N
300,plokhotnyuk,\N,7/2/11 9:07,USR,0,0,19.9449799,50.0646501,pl,Kraków County,Kraków,"Kraków, Poland"
301,folone,#NAME?,8/16/10 14:15,USR,0,0,-0.1277583,51.5073509,gb,Greater London,London,"London, UK"
302,equus12,,4/16/12 7:13,USR,0,1,\N,\N,\N,\N,\N,
